110,Fabricio Werdum VS Stipe Miocic,Fabricio Werdum,Stipe Miocic,-185,160,5/14/2016 0:00,"Curitiba, Parana, Brazil", Brazil,Stipe Miocic,Heavyweight,MALE,38,33,KO/TKO
111,Jon Jones VS Ovince Saint Preux,Jon Jones,Ovince Saint Preux,-720,510,4/23/2016 0:00,"Las Vegas, Nevada, USA", USA,Jon Jones,Light Heavyweight,MALE,28,33,U-DEC
112,Demetrious Johnson VS Henry Cejudo,Demetrious Johnson,Henry Cejudo,-340,280,4/23/2016 0:00,"Las Vegas, Nevada, USA", USA,Demetrious Johnson,Flyweight,MALE,29,29,KO/TKO
113,Holly Holm VS Miesha Tate,Holly Holm,Miesha Tate,-300,250,3/5/2016 0:00,"Las Vegas, Nevada, USA", USA,Miesha Tate,Women's Bantamweight,FEMALE,34,29,SUB
114,TJ Dillashaw VS Dominick Cruz,TJ Dillashaw,Dominick Cruz,-155,135,1/17/2016 0:00,"Boston, Massachusetts, USA", USA,Dominick Cruz,Bantamweight,MALE,29,30,S-DEC
115,Robbie Lawler VS Carlos Condit,Robbie Lawler,Carlos Condit,-115,-105,1/2/2016 0:00,"Las Vegas, Nevada, USA", USA,Robbie Lawler,Welterweight,MALE,33,31,S-DEC
116,Rafael Dos Anjos VS Donald Cerrone,Rafael Dos Anjos,Donald Cerrone,-170,150,12/19/2015 0:00,"Orlando, Florida, USA", USA,Rafael Dos Anjos,Lightweight,MALE,31,32,KO/TKO
117,Jose Aldo VS Conor McGregor,Jose Aldo,Conor McGregor,-115,-105,12/12/2015 0:00,"Las Vegas, Nevada, USA", USA,Conor McGregor,Featherweight,MALE,29,27,KO/TKO
118,Chris Weidman VS Luke Rockhold,Chris Weidman,Luke Rockhold,-150,130,12/12/2015 0:00,"Las Vegas, Nevada, USA", USA,Luke Rockhold,Middleweight,MALE,31,31,KO/TKO
119,Artem Lobov VS Ryan Hall,Artem Lobov,Ryan Hall,-165,145,12/11/2015 0:00,"Las Vegas, Nevada, USA", USA,Ryan Hall,Lightweight,MALE,29,30,U-DEC
120,Erick Montano VS Enrique Marin,Erick Montano,Enrique Marin,-230,190,11/21/2015 0:00,"Monterrey, Nuevo Leon, Mexico", Mexico,Erick Montano,Welterweight,MALE,30,29,S-DEC
121,Horacio Gutierrez VS Enrique Barzola,Horacio Gutierrez,Enrique Barzola,-210,175,11/21/2015 0:00,"Monterrey, Nuevo Leon, Mexico", Mexico,Enrique Barzola,Lightweight,MALE,25,26,U-DEC
122,Ronda Rousey VS Holly Holm,Ronda Rousey,Holly Holm,-750,525,11/14/2015 0:00,"Melbourne, Victoria, Australia", Australia,Holly Holm,Women's Bantamweight,FEMALE,28,34,KO/TKO
123,Joanna Jedrzejczyk VS Valerie Letourneau,Joanna Jedrzejczyk,Valerie Letourneau,-1400,925,11/14/2015 0:00,"Melbourne, Victoria, Australia", Australia,Joanna Jedrzejczyk,Women's Strawweight,FEMALE,28,32,U-DEC
124,Daniel Cormier VS Alexander Gustafsson,Daniel Cormier,Alexander Gustafsson,-255,215,10/3/2015 0:00,"Houston, Texas, USA", USA,Daniel Cormier,Light Heavyweight,MALE,36,28,S-DEC
125,Demetrious Johnson VS John Dodson,Demetrious Johnson,John Dodson,-560,430,9/5/2015 0:00,"Las Vegas, Nevada, USA", USA,Demetrious Johnson,Flyweight,MALE,29,30,U-DEC
126,Ronda Rousey VS Bethe Correia,Ronda Rousey,Bethe Correia,-1700,1100,8/1/2015 0:00,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Ronda Rousey,Women's Bantamweight,FEMALE,28,32,KO/TKO
127,Glaico Franca VS Fernando Bruno,Glaico Franca,Fernando Bruno,-210,175,8/1/2015 0:00,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Glaico Franca,Lightweight,MALE,24,33,
128,Reginaldo Vieira VS Dileno Lopes,Reginaldo Vieira,Dileno Lopes,360,-450,8/1/2015 0:00,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Reginaldo Vieira,Bantamweight,MALE,32,30,U-DEC
