154,Carla Esparza,"5' 1""",115 lbs.,"63""",Orthodox,10/10/1987 0:00,2.29,0.42,0.53,3.44,0.35,0.48,0.3,Cookie Monster,Strawweight,"Redondo Beach, California",United States
155,Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,3/8/1984 0:00,3.26,0.42,0.63,1.93,0.5,0.66,0.3,,Welterweight,"Jales, Sao Paulo",Brazil
156,Johny Hendricks,"5' 9""",185 lbs.,"69""",Southpaw,9/12/1983 0:00,3.49,0.45,0.53,3.83,0.46,0.63,0.3,Bigg Rigg,Welterweight,"Ada, Oklahoma",United States
157,Alex Andrade,"5' 11""",200 lbs.,,Orthodox,5/14/1974 0:00,0.2,0.36,0.53,0,0,0.25,0.8,El Toro,Light Heavyweight,"Laredo, Texas",United States
158,Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,3/28/1985 0:00,2.47,0.39,0.6,2.04,0.47,0.86,0.4,The Juggernaut,Welterweight,"Omaha, Nebraska",United States
159,Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,,0,0,0,0,0,0,0,Bam Bam,Middleweight,"Collinville, Illinois",United States
160,Matt Brown,"6' 0""",170 lbs.,"75""",Orthodox,1/10/1981 0:00,3.69,0.54,0.55,1.56,0.44,0.63,1.4,The Immortal,Welterweight,"Xenia, Ohio",United States
161,Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,9/25/1991 0:00,6.38,0.49,0.53,3.11,0.57,0.76,0.4,Bate Estaca,Strawweight,"Umuarama, Parana",Brazil
162,Reese Andy,"6' 0""",205 lbs.,,Orthodox,3/31/1973 0:00,2.87,0.5,0.58,0.67,0.2,0.4,0,Riptide,Light Heavyweight,"Auburn, Washington",United States
163,Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,11/15/1979 0:00,2.21,0.5,0.46,2.83,0.5,0.57,0.4,The Villain,Middleweight,,New Zealand
164,Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,7/23/1991 0:00,4.62,0.78,0.5,4.47,0.5,0.6,1.1,,,,
165,Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,2/20/1993 0:00,5.87,0.55,0.58,3,0.75,1,0,,,,
